MAP final,Fri, 13 Jan 2023 16:10:17 EET
Method,CogC,v(G)
com.example.map_toysocialnetwork_javafx.repository.db.DbMessageRepository.add(Message),1,2
com.example.map_toysocialnetwork_javafx.repository.db.DbMessageRepository.getLowestFreeId(),3,4
"com.example.map_toysocialnetwork_javafx.repository.db.DbMessageRepository.getMessages(Long, Long)",2,3
"com.example.map_toysocialnetwork_javafx.repository.db.DbUserRepository.DbUserRepository(Validator<User>, String, String, String)",0,1
com.example.map_toysocialnetwork_javafx.repository.db.DbUserRepository.delete(Long),3,3
"com.example.map_toysocialnetwork_javafx.repository.db.DbUserRepository.findByEmailPass(String, String)",2,3
com.example.map_toysocialnetwork_javafx.repository.db.DbUserRepository.getSaltWEmail(String),2,3
com.example.map_toysocialnetwork_javafx.repository.db.DbUserRepository.loadData(),2,3
com.example.map_toysocialnetwork_javafx.repository.db.DbUserRepository.save(User),3,3
com.example.map_toysocialnetwork_javafx.repository.db.DbUserRepository.update(User),3,3
"com.example.map_toysocialnetwork_javafx.repository.file.FileFriendshipRepository.FileFriendshipRepository(Validator<Friendship>, String)",0,1
com.example.map_toysocialnetwork_javafx.repository.file.FileFriendshipRepository.delete(Long),0,1
"com.example.map_toysocialnetwork_javafx.repository.file.FileFriendshipRepository.delete(Long, Long)",0,1
com.example.map_toysocialnetwork_javafx.repository.file.FileFriendshipRepository.loadData(),2,3
com.example.map_toysocialnetwork_javafx.repository.file.FileFriendshipRepository.save(Friendship),0,1
com.example.map_toysocialnetwork_javafx.repository.file.FileFriendshipRepository.saveData(),5,5
"com.example.map_toysocialnetwork_javafx.repository.file.FileUserRepository.FileUserRepository(Validator<User>, String)",0,1
com.example.map_toysocialnetwork_javafx.repository.file.FileUserRepository.delete(Long),0,1
com.example.map_toysocialnetwork_javafx.repository.file.FileUserRepository.loadData(),2,3
com.example.map_toysocialnetwork_javafx.repository.file.FileUserRepository.save(User),0,1
com.example.map_toysocialnetwork_javafx.repository.file.FileUserRepository.saveData(),5,5
com.example.map_toysocialnetwork_javafx.repository.file.FileUserRepository.update(User),0,1
com.example.map_toysocialnetwork_javafx.repository.memory.MemoryFriendshipRepository.MemoryFriendshipRepository(Validator<Friendship>),0,1
"com.example.map_toysocialnetwork_javafx.repository.memory.MemoryFriendshipRepository.areFriends(Long, Long)",0,1
"com.example.map_toysocialnetwork_javafx.repository.memory.MemoryFriendshipRepository.delete(Long, Long)",4,4
"com.example.map_toysocialnetwork_javafx.repository.memory.MemoryFriendshipRepository.getFriendships(Long, String)",6,5
com.example.map_toysocialnetwork_javafx.repository.memory.MemoryFriendshipRepository.getLowestFreeId(),3,3
com.example.map_toysocialnetwork_javafx.repository.memory.MemoryRepository.MemoryRepository(Validator<E>),0,1
com.example.map_toysocialnetwork_javafx.repository.memory.MemoryRepository.delete(ID),2,3
com.example.map_toysocialnetwork_javafx.repository.memory.MemoryRepository.findAll(),0,1
com.example.map_toysocialnetwork_javafx.repository.memory.MemoryRepository.findOne(ID),2,3
com.example.map_toysocialnetwork_javafx.repository.memory.MemoryRepository.save(E),2,3
com.example.map_toysocialnetwork_javafx.repository.memory.MemoryRepository.update(E),2,3
com.example.map_toysocialnetwork_javafx.repository.memory.MemoryUserRepository.MemoryUserRepository(Validator<User>),0,1
com.example.map_toysocialnetwork_javafx.repository.memory.MemoryUserRepository.getLowestFreeId(),3,3
com.example.map_toysocialnetwork_javafx.service.FriendshipService.FriendshipService(DbFriendshipRepository),0,1
"com.example.map_toysocialnetwork_javafx.service.FriendshipService.addFriend(Long, Long)",2,3
"com.example.map_toysocialnetwork_javafx.service.FriendshipService.confirmFriends(Long, Long)",0,1
"com.example.map_toysocialnetwork_javafx.service.FriendshipService.getDiscover(Long, long)",0,1
com.example.map_toysocialnetwork_javafx.service.FriendshipService.getFriendRequestsSent(Long),0,1
